user,year,camera,longitude,latitude,url
90791262@N00,2011,CANON,-122.466219,37.769832,http://farm7.staticflickr.com/6146/6007413382_ae854d9b80.jpg
10787737@N02,2011,PENTAX,-122.420728,37.826636,http://farm7.staticflickr.com/6096/6302188505_6605658dae.jpg
25209633@N07,2008,CANON,-122.424087,37.781668,http://farm4.staticflickr.com/3157/2929634800_4e1016f1e1.jpg
44124466908@N01,2013,NIKON,-122.485136,37.769619,http://farm8.staticflickr.com/7319/10132658656_0aefba31a8.jpg
46035918@N00,2008,NIKON,-122.261593,37.793164,http://farm3.staticflickr.com/2043/2373170624_9a21a75278.jpg
19953384@N00,2008,CANON,-122.403144,37.797373,http://farm3.staticflickr.com/2301/2425736387_26bb542c6b.jpg
54726853@N00,2009,NA,-122.27188,37.81002,http://farm3.staticflickr.com/2761/4033296787_9b69f76414.jpg
34589965@N00,2004,CANON,-122.394003,37.783367,http://farm2.staticflickr.com/1146/1152619576_eb300f3fce.jpg
44491765@N06,2010,SONY,-122.490692,37.770171,http://farm6.staticflickr.com/5020/5548788521_0baa25c244.jpg
27883181@N05,2013,NA,-122.427964,37.72737,http://farm8.staticflickr.com/7408/10179021953_ecf243e5e9.jpg
49503048699@N01,2010,PANASONIC,-122.41883,37.785137,http://farm5.staticflickr.com/4041/4353327462_fe0087375a.jpg
55514420@N00,2008,NA,-122.448163,37.802612,http://farm4.staticflickr.com/3281/2684985435_c553e83cb8.jpg
57845051@N00,2008,NIKON,-122.438687,37.765172,http://farm4.staticflickr.com/3096/2906480264_f7720a765d.jpg
72645106@N00,2010,NIKON,-122.466359,37.769867,http://farm6.staticflickr.com/5129/5256372095_167f761547.jpg
24509941@N00,2007,NIKON,-122.434397,37.79104,http://farm2.staticflickr.com/1355/717453851_68106924b4.jpg
97693278@N07,2013,NIKON,-122.391812,37.793616,http://farm3.staticflickr.com/2839/10592851336_df37ca50b0.jpg
16367084@N05,2010,NIKON,-122.27251,37.803545,http://farm5.staticflickr.com/4072/4589894426_5f392006a3.jpg
45069624@N00,2006,PENTAX,-122.43679,37.774378,http://farm1.staticflickr.com/27/92385474_930e483a96.jpg
99357189@N00,2006,FUJIFILM,-122.400484,37.783943,http://farm1.staticflickr.com/54/152141774_1dda054084.jpg
44124466908@N01,2009,NIKON,-122.408498,37.787843,http://farm3.staticflickr.com/2775/4118347016_850f6f253e.jpg
33989573@N00,2010,CANON,-122.492151,37.63409,http://farm5.staticflickr.com/4129/5025482430_1f54954eae.jpg
46327697@N00,2008,PANASONIC,-122.500391,37.760087,http://farm4.staticflickr.com/3192/3015706469_550ec5d110.jpg
23004521@N02,2008,NA,-122.44812,37.790251,http://farm4.staticflickr.com/3151/2554076535_5f117eaf46.jpg
48889122860@N01,2011,APPLE,-122.3965,37.7785,http://farm6.staticflickr.com/5103/5575242940_a3864632f0.jpg
50769931@N00,2005,EASTMAN,-122.398635,37.793743,http://farm1.staticflickr.com/32/50229071_16c530e6aa.jpg
63215589@N00,2007,NIKON,-122.45387,37.674683,http://farm2.staticflickr.com/1242/847761610_e545c07a9f.jpg
82847947@N00,2009,CANON,-122.403793,37.77996,http://farm3.staticflickr.com/2561/4046450659_0dc36b1186.jpg
10078156@N04,2011,CANON,-122.479019,37.803454,http://farm8.staticflickr.com/7004/6592603545_2d2fd79d22.jpg
44124455441@N01,2006,MOTOROLA,-122.410049,37.782634,http://farm1.staticflickr.com/120/314037168_0168283e85.jpg
44124466908@N01,2008,NIKON,-122.415515,37.779127,http://farm3.staticflickr.com/2351/2227862698_7dbe99e624.jpg
36348296@N00,2011,APPLE,-122.25912,37.826734,http://farm6.staticflickr.com/5100/5419873554_744726a087.jpg
97863854@N00,2007,CANON,-122.398055,37.8,http://farm3.staticflickr.com/2099/2117889174_11d3b34256.jpg
44124466908@N01,2009,NIKON,-122.410697,37.79243,http://farm3.staticflickr.com/2621/4118256827_fdcf83fb2e.jpg
44124466908@N01,2009,NIKON,-122.41383,37.763556,http://farm3.staticflickr.com/2617/3858527750_336d8ca52e.jpg
55368994@N06,2014,CANON,-122.436887,37.688761,http://farm8.staticflickr.com/7407/13178868245_61ed226bed.jpg
31632109@N04,2009,NIKON,-122.408241,37.808003,http://farm3.staticflickr.com/2596/3718092130_e487abc805.jpg
44124466908@N01,2009,NIKON,-122.483042,37.768815,http://farm4.staticflickr.com/3189/3915996319_bdc016bc3c.jpg
95047457@N00,2011,PLUSTEK,-122.413144,37.77978,http://farm6.staticflickr.com/5110/5660024346_ce05cc99a7.jpg
33378239@N00,2012,HTC,-122.271187,37.878427,http://farm8.staticflickr.com/7269/7861069474_00f46fb57f.jpg
8065852@N05,2008,NA,-122.448188,37.804218,http://farm3.staticflickr.com/2071/2437199470_ba482dc0b9.jpg
44124466908@N01,2010,NIKON,-122.483042,37.768815,http://farm5.staticflickr.com/4085/4982046797_f5af3059a3.jpg
44252618@N00,2011,NA,-122.3953,37.78423,http://farm3.staticflickr.com/2873/8793843144_5917b0ef26.jpg
37912375204@N01,2013,APPLE,-122.431834,37.763166,http://farm9.staticflickr.com/8514/8443745622_6ed4e0909c.jpg
18578905@N02,2011,CANON,-122.464148,37.681612,http://farm6.staticflickr.com/5259/5483261249_06d2f2beef.jpg
24431382@N03,2014,SAMSUNG,-122.408181,37.782977,http://farm4.staticflickr.com/3765/12089363905_227b545852.jpg
38315261@N00,2012,APPLE,-122.4775,37.769833,http://farm8.staticflickr.com/7278/8159643247_13440c4303.jpg
75654019@N00,2008,LEICA,-122.407312,37.790726,http://farm4.staticflickr.com/3237/2774591181_a8ecf1916b.jpg
7136964@N04,2014,APPLE,-122.401212,37.784766,http://farm4.staticflickr.com/3719/13764221335_4233bd7694.jpg
65701179@N00,2009,CANON,-122.417746,37.80841,http://farm4.staticflickr.com/3621/3310335517_6dc2719945.jpg
44124466908@N01,2013,SONY,-122.406467,37.797677,http://farm9.staticflickr.com/8468/8436102584_ebfcb94a05.jpg
9471716@N03,2012,NA,-122.427048,37.760571,http://farm8.staticflickr.com/7007/6719249513_260a7df61c.jpg
72625785@N00,2009,CANON,-122.408058,37.784068,http://farm4.staticflickr.com/3424/3748749192_91478ea1d4.jpg
60906956@N00,2007,NIKON,-122.421984,37.807393,http://farm3.staticflickr.com/2377/1518427045_cf8462621d.jpg
67961613@N00,2008,NA,-122.402361,37.742956,http://farm4.staticflickr.com/3100/2561991062_440723f888.jpg
24431382@N03,2013,SONY,-122.398928,37.780263,http://farm6.staticflickr.com/5330/8904409302_50d8f07e46.jpg
23004521@N02,2008,NA,-122.44812,37.790251,http://farm4.staticflickr.com/3197/2313353267_5c5b3d657a.jpg
98347787@N00,2011,CANON,-122.409167,37.792333,http://farm6.staticflickr.com/5058/5527758991_2080c73951.jpg
99413626@N00,2007,KONICA,-122.481465,37.798611,http://farm1.staticflickr.com/155/380179319_3625cd3a40.jpg
46633101@N00,2007,APPLE,-122.394722,37.789989,http://farm2.staticflickr.com/1363/810952217_acf00275de.jpg
19121199@N00,2009,NIKON,-122.39734,37.78318,http://farm4.staticflickr.com/3624/3413047847_34d22f985b.jpg
68601487@N00,2007,CANON,-122.389411,37.77833,http://farm2.staticflickr.com/1316/775808918_29979a4092.jpg
24283894@N00,2011,FUJIFILM,-122.448399,37.803053,http://farm6.staticflickr.com/5181/5606754413_abfd320030.jpg
12252801@N00,2010,OLYMPUS,-122.277628,37.795215,http://farm5.staticflickr.com/4080/4939575521_059eb54f9e.jpg
44124466908@N01,2010,NIKON,-122.406599,37.785919,http://farm2.staticflickr.com/1363/4733748656_eccf830abc.jpg
13101981@N03,2013,NIKON,-122.421598,37.759383,http://farm9.staticflickr.com/8105/8472035833_e6740de2d8.jpg
90784314@N00,2007,PANASONIC,-122.402286,37.801925,http://farm2.staticflickr.com/1366/1315294841_49261cbfee.jpg
50769931@N00,2005,EASTMAN,-122.398635,37.793743,http://farm1.staticflickr.com/22/39559340_2a13a78ce9.jpg
17065592@N00,2006,CANON,-122.409861,37.792111,http://farm2.staticflickr.com/1076/1429086795_195200e3be.jpg
54441021@N02,2012,NIKON,-122.2705,37.869499,http://farm9.staticflickr.com/8344/8262887121_1e09a294fb.jpg
86151521@N00,2008,OLYMPUS,-122.406377,37.767364,http://farm4.staticflickr.com/3080/2839323816_258c0480b7.jpg
16499457@N00,2007,RIM,-122.393317,37.759162,http://farm3.staticflickr.com/2281/2045978258_e13666560c.jpg
