year,tag,count
2000,matt,1
2000,greenpoint,5
2000,velvet,1
2000,jewelry,1
2000,forlorn,1
2000,metalthread,1
2000,rings,1
2000,newark,1
2000,seder,1
2000,state,1
2000,blur,2
2000,earrings,1
2000,femme,1
2000,christmas,1
2000,red,2
2000,architecture,4
2000,dunn,1
2000,vixen,1
2000,newyork,3
2000,flyers,1
2000,topcropspigoo,2
2000,pub,1
2000,water,1
2000,iphoto,15
2000,wtc,1
2000,york,67
2000,worthy,2
2000,alone,1
2000,seely,2
2000,vuescan,2
2000,sidelinker,1
2000,thread,1
2000,of,1
2000,punk,1
2000,nightclub,1
2000,motion,2
2000,bird,1
2000,birthday,2
2000,franklin,1
2000,smoke,2
2000,chain,1
2000,south,1
2000,kerstmis,1
2000,atelier,1
2000,kerst,1
2000,bogeyman,1
2000,denise,1
2000,hook,2
2000,me,1
2000,comic,15
2000,macworld,1
2000,sarah,2
2000,city,6
2000,toy,1
2000,usa,6
2000,&,1
2000,carbonell,1
2000,night,2
2000,long,1
2000,pearl,1
2000,music,2
2000,brooklynbridge,1
2000,convention,1
2000,sekularac,2
2000,ghost,1
2000,sweetheart,1
2000,building,3
2000,bobble,1
2000,viktor,2
2000,canon,2
2000,musician,1
2000,astoria,1
2000,tiger,1
2000,tradeshow,1
2000,viaggi,17
2000,lowlight,1
2000,longexposure,2
2000,shoot,16
2000,bqe,1
2000,wet,1
2000,handmade,1
2000,n,1
2000,uts,2
2000,expo,1
2000,sculpture,1
2000,and,1
2000,bridge,3
2000,chad,2
2000,scan,1
2000,indie,1
2000,december,1
2000,ann,2
2000,lowry,1
2000,staten,1
2000,rip,1
2000,states,2
2000,raw,5
2000,scanned,1
2000,cns2003,3
2000,home,1
2000,dress,1
2000,empire,1
2000,film,2
2000,party,2
2000,microphone,1
2000,united,2
2000,winter,1
2000,architectuur,1
2000,mia,1
2000,vintage,1
2000,travel,18
2000,rockwood,1
2000,snow,2
2000,songwriter,1
2000,adornment,1
2000,book,15
2000,grand,1
2000,nyc,15
2000,manhattan,4
2000,neopan,1
2000,plant,16
2000,oil,1
2000,hebib,1
2000,dusk,1
2000,rain,1
2000,holidays,1
2000,brooklyn,23
2000,flower,16
2000,posters,1
2000,america,2
2000,pies,1
2000,exposure,1
2000,jones,1
2000,cbgb's,1
2000,singer,2
2000,natural,1
2000,center,3
2000,javits,1
2000,shooter,1
2000,metal,1
2000,2000,18
2000,b&w,1
2000,heidi,1
2000,necklace,1
2000,original,15
2000,hotdog,1
2001,,6
2001,9/11,8
2001,concept,1
2001,september,7
2001,helen,1
2001,trade,25
2001,world,25
2001,b/w,3
2001,9/11/2001,4
2001,sky,1
2001,texture,2
2001,black,3
2001,nten,2
2001,east,5
2001,freeman,1
2001,ellisisland,3
2001,jazz,1
2001,bear,1
2001,walls,1
2001,black&white,3
2001,finantial,1
2001,aspirationtech,1
2001,school,1
2001,woolworth,1
2001,nissan,1
2001,skyline,1
2001,koyaanisqatsi,1
2001,usa2001,2
2001,river,3
2001,tompkins,1
2001,ornamental,3
2001,square,3
2001,old,1
2001,people,1
2001,canova,1
2001,seal,1
2001,empire,1
2001,blue,1
2001,sun,1
2001,state,1
2001,skyscraper,1
2001,new,60
2001,911,14
2001,red,2
2001,longisland,1
2001,loyola,1
2001,water,1
2001,wtc,15
2001,z9,2
2001,formfaktor,1
2001,district,1
2001,of,2
2001,times,2
2001,chrysler,1
2001,york,60
2001,merrill,1
2001,newyorkcity,4
2001,wall,2
2001,twin,4
2001,village,2
2001,art,2
2001,cabrio,2
2001,city,8
2001,monkey,1
2001,usa,23
2001,cisc1970,3
2001,museum,3
2001,heights,3
2001,attack,1
2001,wax,1
2001,white,3
2001,war,1
2001,towers,4
2001,park,2
2001,immigration,3
2001,astoria,1
2001,bmw,3
2001,child,1
2001,11,5
2001,states,3
2001,animals,3
2001,alladio,1
2001,reddish,2
2001,citibank,1
2001,car,5
2001,silly,1
2001,morgan,1
2001,20011105,2
2001,z,1
2001,bridge,6
2001,centralpark,3
2001,metropolitan,2
2001,carroll,4
2001,sad,1
2001,high,1
2001,graffiti,1
2001,rescue,1
2001,pink,2
2001,memorial,1
2001,united,3
2001,peace,1
2001,k38,1
2001,zoo,3
2001,shawn,1
2001,2001,7
2001,nyc,52
2001,manhattan,7
2001,buildings,2
2001,columbia,5
2001,nptech,3
2001,persons,1
2001,brooklyn,20
2001,plane,1
2001,dumbo,5
2001,america,6
2001,class,1
2001,queens,2
2001,building,6
2001,singer,1
2001,center,25
2001,diadoumenos,1
2001,antonio,1
2001,2002,1
2001,candid,1
2001,sunset,1
2001,english,1
2001,gardens,4
2001,jurgen,1
2002,happyjoel,1
2002,9/11,3
2002,show,2
2002,rob,1
